issue_id,issue_desc,issue_impact,issue_help,issue_url,page_type,page_category,page_id,page_url,violations,passes,total_checks,failure_rate
aria-allowed-role,Ensures role attribute has an appropriate value for the element,minor,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.8/aria-allowed-role?application=playwright,"home,donors,publications,dataset,cells,sample,publication,samples,organs,organ,contact,donor,datasets,globus",hubmap,"hubmap11,hubmap0,hubmap2,hubmap19,hubmap20,hubmap14,hubmap3,hubmap13,hubmap21,hubmap1,hubmap8,hubmap12,hubmap7,hubmap6,hubmap10,hubmap9,hubmap15,hubmap5,hubmap22,hubmap4","https://hubmapconsortium.org/contact-form/,https://portal.hubmapconsortium.org/organ,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,https://portal.hubmapconsortium.org/search?entity_type[0]=Sample,https://portal.hubmapconsortium.org/browse/sample/b4f9ce73afcb358595bc80275a197d53,https://portal.hubmapconsortium.org/cells,https://portal.hubmapconsortium.org/browse/publication/72cbeb8ff605fd5017cb2666cd19dfb7,https://portal.hubmapconsortium.org/browse/sample/4573aca82b700a93fcd73f135ac18f7f,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,https://portal.hubmapconsortium.org/organ/blood,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075,https://portal.hubmapconsortium.org/browse/donor/cc561d0d3840fe8482938208fe032a54,https://portal.hubmapconsortium.org/search?entity_type[0]=Donor,https://portal.hubmapconsortium.org/browse/donor/4b257b9c1758a98af262c57bc0caa726,https://portal.hubmapconsortium.org/publications,https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6,https://portal.hubmapconsortium.org/browse/sample/509d2f22c9e9c33e2bf5b5ebca679570,https://portal.hubmapconsortium.org/,https://portal.hubmapconsortium.org/search?entity_type[0]=Dataset,https://auth.globus.org/p/login?client_id=89ba3e72-768f-4ddb-952d-e0bb7305e2c7&response_type=token&redirect_uri=%2Fv2%2Foauth2%2Fauthorize%3Fclient_id%3D89ba3e72-768f-4ddb-952d-e0bb7305e2c7%26response_type%3Dtoken%26redirect_uri%3Dhttps%253A%252F%252Fapp.globus.org%252Flogin%26redirect_name%3DGlobus%2BWeb%2BApp%26state%3Ds5rzygfo4zb%26viewlocale%3Den_US%26scope%3Durn%253Aglobus%253Aauth%253Ascope%253Aauth.globus.org%253Aview_identities%2Burn%253Aglobus%253Aauth%253Ascope%253Atransfer.api.globus.org%253Aall%2Burn%253Aglobus%253Aauth%253Ascope%253Asearch.api.globus.org%253Asearch%2Burn%253Aglobus%253Aauth%253Ascope%253Agroups.api.globus.org%253Aall&redirect_name=Globus+Web+App&viewlocale=en_US&scope=urn%3Aglobus%3Aauth%3Ascope%3Aauth.globus.org%3Aview_identities+urn%3Aglobus%3Aauth%3Ascope%3Atransfer.api.globus.org%3Aall+urn%3Aglobus%3Aauth%3Ascope%3Asearch.api.globus.org%3Asearch+urn%3Aglobus%3Aauth%3Ascope%3Agroups.api.globus.org%3Aall",2,453,455,0.004395604395604396
aria-required-children,Ensures elements with an ARIA role that require child roles contain them,critical,Certain ARIA roles must contain particular children,https://dequeuniversity.com/rules/axe/4.8/aria-required-children?application=playwright,"home,publications,dataset,sample,organ,donor",hubmap,"hubmap10,hubmap11,hubmap9,hubmap0,hubmap15,hubmap19,hubmap5,hubmap8,hubmap12,hubmap7,hubmap13,hubmap6","https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,https://portal.hubmapconsortium.org/browse/sample/509d2f22c9e9c33e2bf5b5ebca679570,https://portal.hubmapconsortium.org/,https://portal.hubmapconsortium.org/organ/blood,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,https://portal.hubmapconsortium.org/browse/sample/b4f9ce73afcb358595bc80275a197d53,https://portal.hubmapconsortium.org/browse/donor/cc561d0d3840fe8482938208fe032a54,https://portal.hubmapconsortium.org/browse/donor/4b257b9c1758a98af262c57bc0caa726,https://portal.hubmapconsortium.org/publications,https://portal.hubmapconsortium.org/browse/sample/4573aca82b700a93fcd73f135ac18f7f",6,18,24,0.25
color-contrast,Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,serious,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,"home,donors,publications,collections,dataset,cells,sample,publication,samples,collection,organs,organ,biomarkers,donor,datasets,contact,globus",hubmap,"hubmap11,hubmap0,hubmap2,hubmap19,hubmap18,hubmap20,hubmap14,hubmap3,hubmap13,hubmap21,hubmap1,hubmap16,hubmap8,hubmap12,hubmap7,hubmap6,hubmap10,hubmap17,hubmap9,hubmap15,hubmap5,hubmap22,hubmap4","https://hubmapconsortium.org/contact-form/,https://portal.hubmapconsortium.org/organ,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,https://portal.hubmapconsortium.org/search?entity_type[0]=Sample,https://portal.hubmapconsortium.org/browse/sample/b4f9ce73afcb358595bc80275a197d53,https://portal.hubmapconsortium.org/cells,https://portal.hubmapconsortium.org/browse/collection/3ae4ddfc175d768af5526a010bfe95aa,https://portal.hubmapconsortium.org/browse/publication/72cbeb8ff605fd5017cb2666cd19dfb7,https://portal.hubmapconsortium.org/browse/sample/4573aca82b700a93fcd73f135ac18f7f,https://portal.hubmapconsortium.org/collections,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,https://portal.hubmapconsortium.org/organ/blood,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075,https://portal.hubmapconsortium.org/browse/donor/cc561d0d3840fe8482938208fe032a54,https://portal.hubmapconsortium.org/biomarkers,https://portal.hubmapconsortium.org/search?entity_type[0]=Donor,https://portal.hubmapconsortium.org/browse/donor/4b257b9c1758a98af262c57bc0caa726,https://portal.hubmapconsortium.org/publications,https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6,https://portal.hubmapconsortium.org/browse/sample/509d2f22c9e9c33e2bf5b5ebca679570,https://portal.hubmapconsortium.org/,https://portal.hubmapconsortium.org/search?entity_type[0]=Dataset,https://auth.globus.org/p/login?client_id=89ba3e72-768f-4ddb-952d-e0bb7305e2c7&response_type=token&redirect_uri=%2Fv2%2Foauth2%2Fauthorize%3Fclient_id%3D89ba3e72-768f-4ddb-952d-e0bb7305e2c7%26response_type%3Dtoken%26redirect_uri%3Dhttps%253A%252F%252Fapp.globus.org%252Flogin%26redirect_name%3DGlobus%2BWeb%2BApp%26state%3Ds5rzygfo4zb%26viewlocale%3Den_US%26scope%3Durn%253Aglobus%253Aauth%253Ascope%253Aauth.globus.org%253Aview_identities%2Burn%253Aglobus%253Aauth%253Ascope%253Atransfer.api.globus.org%253Aall%2Burn%253Aglobus%253Aauth%253Ascope%253Asearch.api.globus.org%253Asearch%2Burn%253Aglobus%253Aauth%253Ascope%253Agroups.api.globus.org%253Aall&redirect_name=Globus+Web+App&viewlocale=en_US&scope=urn%3Aglobus%3Aauth%3Ascope%3Aauth.globus.org%3Aview_identities+urn%3Aglobus%3Aauth%3Ascope%3Atransfer.api.globus.org%3Aall+urn%3Aglobus%3Aauth%3Ascope%3Asearch.api.globus.org%3Asearch+urn%3Aglobus%3Aauth%3Ascope%3Agroups.api.globus.org%3Aall",9,2185,2194,0.004102096627164996
heading-order,Ensures the order of headings is semantically correct,moderate,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.8/heading-order?application=playwright,"home,donors,publications,collections,dataset,cells,sample,publication,samples,collection,organs,organ,biomarkers,donor,datasets,contact,globus",hubmap,"hubmap11,hubmap0,hubmap2,hubmap19,hubmap18,hubmap20,hubmap14,hubmap3,hubmap13,hubmap21,hubmap1,hubmap16,hubmap8,hubmap12,hubmap7,hubmap6,hubmap10,hubmap17,hubmap9,hubmap15,hubmap5,hubmap22,hubmap4","https://hubmapconsortium.org/contact-form/,https://portal.hubmapconsortium.org/organ,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,https://portal.hubmapconsortium.org/search?entity_type[0]=Sample,https://portal.hubmapconsortium.org/browse/sample/b4f9ce73afcb358595bc80275a197d53,https://portal.hubmapconsortium.org/cells,https://portal.hubmapconsortium.org/browse/collection/3ae4ddfc175d768af5526a010bfe95aa,https://portal.hubmapconsortium.org/browse/publication/72cbeb8ff605fd5017cb2666cd19dfb7,https://portal.hubmapconsortium.org/browse/sample/4573aca82b700a93fcd73f135ac18f7f,https://portal.hubmapconsortium.org/collections,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,https://portal.hubmapconsortium.org/organ/blood,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075,https://portal.hubmapconsortium.org/browse/donor/cc561d0d3840fe8482938208fe032a54,https://portal.hubmapconsortium.org/biomarkers,https://portal.hubmapconsortium.org/search?entity_type[0]=Donor,https://portal.hubmapconsortium.org/browse/donor/4b257b9c1758a98af262c57bc0caa726,https://portal.hubmapconsortium.org/publications,https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6,https://portal.hubmapconsortium.org/browse/sample/509d2f22c9e9c33e2bf5b5ebca679570,https://portal.hubmapconsortium.org/,https://portal.hubmapconsortium.org/search?entity_type[0]=Dataset,https://auth.globus.org/p/login?client_id=89ba3e72-768f-4ddb-952d-e0bb7305e2c7&response_type=token&redirect_uri=%2Fv2%2Foauth2%2Fauthorize%3Fclient_id%3D89ba3e72-768f-4ddb-952d-e0bb7305e2c7%26response_type%3Dtoken%26redirect_uri%3Dhttps%253A%252F%252Fapp.globus.org%252Flogin%26redirect_name%3DGlobus%2BWeb%2BApp%26state%3Ds5rzygfo4zb%26viewlocale%3Den_US%26scope%3Durn%253Aglobus%253Aauth%253Ascope%253Aauth.globus.org%253Aview_identities%2Burn%253Aglobus%253Aauth%253Ascope%253Atransfer.api.globus.org%253Aall%2Burn%253Aglobus%253Aauth%253Ascope%253Asearch.api.globus.org%253Asearch%2Burn%253Aglobus%253Aauth%253Ascope%253Agroups.api.globus.org%253Aall&redirect_name=Globus+Web+App&viewlocale=en_US&scope=urn%3Aglobus%3Aauth%3Ascope%3Aauth.globus.org%3Aview_identities+urn%3Aglobus%3Aauth%3Ascope%3Atransfer.api.globus.org%3Aall+urn%3Aglobus%3Aauth%3Ascope%3Asearch.api.globus.org%3Asearch+urn%3Aglobus%3Aauth%3Ascope%3Agroups.api.globus.org%3Aall",41,385,426,0.09624413145539906
html-has-lang,Ensures every HTML document has a lang attribute,serious,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.8/html-has-lang?application=playwright,"home,donors,publications,collections,dataset,cells,sample,publication,samples,collection,organs,organ,biomarkers,donor,datasets,contact,globus",hubmap,"hubmap11,hubmap0,hubmap2,hubmap19,hubmap18,hubmap20,hubmap14,hubmap3,hubmap13,hubmap21,hubmap1,hubmap16,hubmap8,hubmap12,hubmap7,hubmap6,hubmap10,hubmap17,hubmap9,hubmap15,hubmap5,hubmap22,hubmap4","https://hubmapconsortium.org/contact-form/,https://portal.hubmapconsortium.org/organ,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,https://portal.hubmapconsortium.org/search?entity_type[0]=Sample,https://portal.hubmapconsortium.org/browse/sample/b4f9ce73afcb358595bc80275a197d53,https://portal.hubmapconsortium.org/cells,https://portal.hubmapconsortium.org/browse/collection/3ae4ddfc175d768af5526a010bfe95aa,https://portal.hubmapconsortium.org/browse/publication/72cbeb8ff605fd5017cb2666cd19dfb7,https://portal.hubmapconsortium.org/browse/sample/4573aca82b700a93fcd73f135ac18f7f,https://portal.hubmapconsortium.org/collections,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,https://portal.hubmapconsortium.org/organ/blood,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075,https://portal.hubmapconsortium.org/browse/donor/cc561d0d3840fe8482938208fe032a54,https://portal.hubmapconsortium.org/biomarkers,https://portal.hubmapconsortium.org/search?entity_type[0]=Donor,https://portal.hubmapconsortium.org/browse/donor/4b257b9c1758a98af262c57bc0caa726,https://portal.hubmapconsortium.org/publications,https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6,https://portal.hubmapconsortium.org/browse/sample/509d2f22c9e9c33e2bf5b5ebca679570,https://portal.hubmapconsortium.org/,https://portal.hubmapconsortium.org/search?entity_type[0]=Dataset,https://auth.globus.org/p/login?client_id=89ba3e72-768f-4ddb-952d-e0bb7305e2c7&response_type=token&redirect_uri=%2Fv2%2Foauth2%2Fauthorize%3Fclient_id%3D89ba3e72-768f-4ddb-952d-e0bb7305e2c7%26response_type%3Dtoken%26redirect_uri%3Dhttps%253A%252F%252Fapp.globus.org%252Flogin%26redirect_name%3DGlobus%2BWeb%2BApp%26state%3Ds5rzygfo4zb%26viewlocale%3Den_US%26scope%3Durn%253Aglobus%253Aauth%253Ascope%253Aauth.globus.org%253Aview_identities%2Burn%253Aglobus%253Aauth%253Ascope%253Atransfer.api.globus.org%253Aall%2Burn%253Aglobus%253Aauth%253Ascope%253Asearch.api.globus.org%253Asearch%2Burn%253Aglobus%253Aauth%253Ascope%253Agroups.api.globus.org%253Aall&redirect_name=Globus+Web+App&viewlocale=en_US&scope=urn%3Aglobus%3Aauth%3Ascope%3Aauth.globus.org%3Aview_identities+urn%3Aglobus%3Aauth%3Ascope%3Atransfer.api.globus.org%3Aall+urn%3Aglobus%3Aauth%3Ascope%3Asearch.api.globus.org%3Asearch+urn%3Aglobus%3Aauth%3Ascope%3Agroups.api.globus.org%3Aall",21,2,23,0.9130434782608695
landmark-complementary-is-top-level,Ensures the complementary landmark or aside is at top level,moderate,Aside should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-complementary-is-top-level?application=playwright,contact,hubmap,hubmap21,https://hubmapconsortium.org/contact-form/,3,0,3,1.0
landmark-main-is-top-level,Ensures the main landmark is at top level,moderate,Main landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-main-is-top-level?application=playwright,"dataset,globus,publication,contact",hubmap,"hubmap21,hubmap9,hubmap8,hubmap22,hubmap20","https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6,https://hubmapconsortium.org/contact-form/,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075,https://portal.hubmapconsortium.org/browse/publication/72cbeb8ff605fd5017cb2666cd19dfb7,https://auth.globus.org/p/login?client_id=89ba3e72-768f-4ddb-952d-e0bb7305e2c7&response_type=token&redirect_uri=%2Fv2%2Foauth2%2Fauthorize%3Fclient_id%3D89ba3e72-768f-4ddb-952d-e0bb7305e2c7%26response_type%3Dtoken%26redirect_uri%3Dhttps%253A%252F%252Fapp.globus.org%252Flogin%26redirect_name%3DGlobus%2BWeb%2BApp%26state%3Ds5rzygfo4zb%26viewlocale%3Den_US%26scope%3Durn%253Aglobus%253Aauth%253Ascope%253Aauth.globus.org%253Aview_identities%2Burn%253Aglobus%253Aauth%253Ascope%253Atransfer.api.globus.org%253Aall%2Burn%253Aglobus%253Aauth%253Ascope%253Asearch.api.globus.org%253Asearch%2Burn%253Aglobus%253Aauth%253Ascope%253Agroups.api.globus.org%253Aall&redirect_name=Globus+Web+App&viewlocale=en_US&scope=urn%3Aglobus%3Aauth%3Ascope%3Aauth.globus.org%3Aview_identities+urn%3Aglobus%3Aauth%3Ascope%3Atransfer.api.globus.org%3Aall+urn%3Aglobus%3Aauth%3Ascope%3Asearch.api.globus.org%3Asearch+urn%3Aglobus%3Aauth%3Ascope%3Agroups.api.globus.org%3Aall",2,10,12,0.16666666666666666
landmark-no-duplicate-main,Ensures the document has at most one main landmark,moderate,Document should not have more than one main landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-no-duplicate-main?application=playwright,"dataset,globus,publication,contact",hubmap,"hubmap21,hubmap9,hubmap8,hubmap22,hubmap20","https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6,https://hubmapconsortium.org/contact-form/,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075,https://portal.hubmapconsortium.org/browse/publication/72cbeb8ff605fd5017cb2666cd19dfb7,https://auth.globus.org/p/login?client_id=89ba3e72-768f-4ddb-952d-e0bb7305e2c7&response_type=token&redirect_uri=%2Fv2%2Foauth2%2Fauthorize%3Fclient_id%3D89ba3e72-768f-4ddb-952d-e0bb7305e2c7%26response_type%3Dtoken%26redirect_uri%3Dhttps%253A%252F%252Fapp.globus.org%252Flogin%26redirect_name%3DGlobus%2BWeb%2BApp%26state%3Ds5rzygfo4zb%26viewlocale%3Den_US%26scope%3Durn%253Aglobus%253Aauth%253Ascope%253Aauth.globus.org%253Aview_identities%2Burn%253Aglobus%253Aauth%253Ascope%253Atransfer.api.globus.org%253Aall%2Burn%253Aglobus%253Aauth%253Ascope%253Asearch.api.globus.org%253Asearch%2Burn%253Aglobus%253Aauth%253Ascope%253Agroups.api.globus.org%253Aall&redirect_name=Globus+Web+App&viewlocale=en_US&scope=urn%3Aglobus%3Aauth%3Ascope%3Aauth.globus.org%3Aview_identities+urn%3Aglobus%3Aauth%3Ascope%3Atransfer.api.globus.org%3Aall+urn%3Aglobus%3Aauth%3Ascope%3Asearch.api.globus.org%3Asearch+urn%3Aglobus%3Aauth%3Ascope%3Agroups.api.globus.org%3Aall",3,2,5,0.6
landmark-one-main,Ensures the document has a main landmark,moderate,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright,"home,donors,publications,collections,dataset,cells,sample,publication,samples,collection,organs,organ,biomarkers,donor,datasets,contact,globus",hubmap,"hubmap11,hubmap0,hubmap2,hubmap19,hubmap18,hubmap20,hubmap14,hubmap3,hubmap13,hubmap21,hubmap1,hubmap16,hubmap8,hubmap12,hubmap7,hubmap6,hubmap10,hubmap17,hubmap9,hubmap15,hubmap5,hubmap22,hubmap4","https://hubmapconsortium.org/contact-form/,https://portal.hubmapconsortium.org/organ,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,https://portal.hubmapconsortium.org/search?entity_type[0]=Sample,https://portal.hubmapconsortium.org/browse/sample/b4f9ce73afcb358595bc80275a197d53,https://portal.hubmapconsortium.org/cells,https://portal.hubmapconsortium.org/browse/collection/3ae4ddfc175d768af5526a010bfe95aa,https://portal.hubmapconsortium.org/browse/publication/72cbeb8ff605fd5017cb2666cd19dfb7,https://portal.hubmapconsortium.org/browse/sample/4573aca82b700a93fcd73f135ac18f7f,https://portal.hubmapconsortium.org/collections,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,https://portal.hubmapconsortium.org/organ/blood,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075,https://portal.hubmapconsortium.org/browse/donor/cc561d0d3840fe8482938208fe032a54,https://portal.hubmapconsortium.org/biomarkers,https://portal.hubmapconsortium.org/search?entity_type[0]=Donor,https://portal.hubmapconsortium.org/browse/donor/4b257b9c1758a98af262c57bc0caa726,https://portal.hubmapconsortium.org/publications,https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6,https://portal.hubmapconsortium.org/browse/sample/509d2f22c9e9c33e2bf5b5ebca679570,https://portal.hubmapconsortium.org/,https://portal.hubmapconsortium.org/search?entity_type[0]=Dataset,https://auth.globus.org/p/login?client_id=89ba3e72-768f-4ddb-952d-e0bb7305e2c7&response_type=token&redirect_uri=%2Fv2%2Foauth2%2Fauthorize%3Fclient_id%3D89ba3e72-768f-4ddb-952d-e0bb7305e2c7%26response_type%3Dtoken%26redirect_uri%3Dhttps%253A%252F%252Fapp.globus.org%252Flogin%26redirect_name%3DGlobus%2BWeb%2BApp%26state%3Ds5rzygfo4zb%26viewlocale%3Den_US%26scope%3Durn%253Aglobus%253Aauth%253Ascope%253Aauth.globus.org%253Aview_identities%2Burn%253Aglobus%253Aauth%253Ascope%253Atransfer.api.globus.org%253Aall%2Burn%253Aglobus%253Aauth%253Ascope%253Asearch.api.globus.org%253Asearch%2Burn%253Aglobus%253Aauth%253Ascope%253Agroups.api.globus.org%253Aall&redirect_name=Globus+Web+App&viewlocale=en_US&scope=urn%3Aglobus%3Aauth%3Ascope%3Aauth.globus.org%3Aview_identities+urn%3Aglobus%3Aauth%3Ascope%3Atransfer.api.globus.org%3Aall+urn%3Aglobus%3Aauth%3Ascope%3Asearch.api.globus.org%3Asearch+urn%3Aglobus%3Aauth%3Ascope%3Agroups.api.globus.org%3Aall",18,6,24,0.75
link-name,Ensures links have discernible text,serious,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright,"home,donors,publications,collections,dataset,cells,sample,publication,samples,collection,organs,organ,biomarkers,donor,datasets,contact,globus",hubmap,"hubmap11,hubmap0,hubmap2,hubmap19,hubmap18,hubmap20,hubmap14,hubmap3,hubmap13,hubmap21,hubmap1,hubmap16,hubmap8,hubmap12,hubmap7,hubmap6,hubmap10,hubmap17,hubmap9,hubmap15,hubmap5,hubmap22,hubmap4","https://hubmapconsortium.org/contact-form/,https://portal.hubmapconsortium.org/organ,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,https://portal.hubmapconsortium.org/search?entity_type[0]=Sample,https://portal.hubmapconsortium.org/browse/sample/b4f9ce73afcb358595bc80275a197d53,https://portal.hubmapconsortium.org/cells,https://portal.hubmapconsortium.org/browse/collection/3ae4ddfc175d768af5526a010bfe95aa,https://portal.hubmapconsortium.org/browse/publication/72cbeb8ff605fd5017cb2666cd19dfb7,https://portal.hubmapconsortium.org/browse/sample/4573aca82b700a93fcd73f135ac18f7f,https://portal.hubmapconsortium.org/collections,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,https://portal.hubmapconsortium.org/organ/blood,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075,https://portal.hubmapconsortium.org/browse/donor/cc561d0d3840fe8482938208fe032a54,https://portal.hubmapconsortium.org/biomarkers,https://portal.hubmapconsortium.org/search?entity_type[0]=Donor,https://portal.hubmapconsortium.org/browse/donor/4b257b9c1758a98af262c57bc0caa726,https://portal.hubmapconsortium.org/publications,https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6,https://portal.hubmapconsortium.org/browse/sample/509d2f22c9e9c33e2bf5b5ebca679570,https://portal.hubmapconsortium.org/,https://portal.hubmapconsortium.org/search?entity_type[0]=Dataset,https://auth.globus.org/p/login?client_id=89ba3e72-768f-4ddb-952d-e0bb7305e2c7&response_type=token&redirect_uri=%2Fv2%2Foauth2%2Fauthorize%3Fclient_id%3D89ba3e72-768f-4ddb-952d-e0bb7305e2c7%26response_type%3Dtoken%26redirect_uri%3Dhttps%253A%252F%252Fapp.globus.org%252Flogin%26redirect_name%3DGlobus%2BWeb%2BApp%26state%3Ds5rzygfo4zb%26viewlocale%3Den_US%26scope%3Durn%253Aglobus%253Aauth%253Ascope%253Aauth.globus.org%253Aview_identities%2Burn%253Aglobus%253Aauth%253Ascope%253Atransfer.api.globus.org%253Aall%2Burn%253Aglobus%253Aauth%253Ascope%253Asearch.api.globus.org%253Asearch%2Burn%253Aglobus%253Aauth%253Ascope%253Agroups.api.globus.org%253Aall&redirect_name=Globus+Web+App&viewlocale=en_US&scope=urn%3Aglobus%3Aauth%3Ascope%3Aauth.globus.org%3Aview_identities+urn%3Aglobus%3Aauth%3Ascope%3Atransfer.api.globus.org%3Aall+urn%3Aglobus%3Aauth%3Ascope%3Asearch.api.globus.org%3Asearch+urn%3Aglobus%3Aauth%3Ascope%3Agroups.api.globus.org%3Aall",68,1000,1068,0.06367041198501873
