issue_id,impact,description,help,url
color-contrast,serious,"Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds",https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=playwright
landmark-one-main,moderate,"Ensures the document has a main landmark","Document should have one main landmark",https://dequeuniversity.com/rules/axe/4.9/landmark-one-main?application=playwright
landmark-unique,moderate,"Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","Ensures landmarks are unique",https://dequeuniversity.com/rules/axe/4.9/landmark-unique?application=playwright
link-name,serious,"Ensures links have discernible text","Links must have discernible text",https://dequeuniversity.com/rules/axe/4.9/link-name?application=playwright
region,moderate,"Ensures all page content is contained by landmarks","All page content should be contained by landmarks",https://dequeuniversity.com/rules/axe/4.9/region?application=playwright
aria-allowed-attr,null,"Ensures an element's role supports its ARIA attributes","Elements must only use supported ARIA attributes",https://dequeuniversity.com/rules/axe/4.9/aria-allowed-attr?application=playwright
aria-allowed-role,null,"Ensures role attribute has an appropriate value for the element","ARIA role should be appropriate for the element",https://dequeuniversity.com/rules/axe/4.9/aria-allowed-role?application=playwright
aria-conditional-attr,null,"Ensures ARIA attributes are used as described in the specification of the element's role","ARIA attributes must be used as specified for the element's role",https://dequeuniversity.com/rules/axe/4.9/aria-conditional-attr?application=playwright
aria-deprecated-role,null,"Ensures elements do not use deprecated roles","Deprecated ARIA roles must not be used",https://dequeuniversity.com/rules/axe/4.9/aria-deprecated-role?application=playwright
aria-hidden-body,null,"Ensures aria-hidden="true" is not present on the document body.","aria-hidden="true" must not be present on the document body",https://dequeuniversity.com/rules/axe/4.9/aria-hidden-body?application=playwright
aria-prohibited-attr,null,"Ensures ARIA attributes are not prohibited for an element's role","Elements must only use permitted ARIA attributes",https://dequeuniversity.com/rules/axe/4.9/aria-prohibited-attr?application=playwright
aria-required-attr,null,"Ensures elements with ARIA roles have all required ARIA attributes","Required ARIA attributes must be provided",https://dequeuniversity.com/rules/axe/4.9/aria-required-attr?application=playwright
aria-roles,null,"Ensures all elements with a role attribute use a valid value","ARIA roles used must conform to valid values",https://dequeuniversity.com/rules/axe/4.9/aria-roles?application=playwright
aria-valid-attr-value,null,"Ensures all ARIA attributes have valid values","ARIA attributes must conform to valid values",https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr-value?application=playwright
aria-valid-attr,null,"Ensures attributes that begin with aria- are valid ARIA attributes","ARIA attributes must conform to valid names",https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr?application=playwright
avoid-inline-spacing,null,"Ensure that text spacing set through style attributes can be adjusted with custom stylesheets","Inline text spacing must be adjustable with custom stylesheets",https://dequeuniversity.com/rules/axe/4.9/avoid-inline-spacing?application=playwright
bypass,null,"Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content","Page must have means to bypass repeated blocks",https://dequeuniversity.com/rules/axe/4.9/bypass?application=playwright
document-title,null,"Ensures each HTML document contains a non-empty <title> element","Documents must have <title> element to aid in navigation",https://dequeuniversity.com/rules/axe/4.9/document-title?application=playwright
duplicate-id-aria,null,"Ensures every id attribute value used in ARIA and in labels is unique","IDs used in ARIA and labels must be unique",https://dequeuniversity.com/rules/axe/4.9/duplicate-id-aria?application=playwright
empty-heading,null,"Ensures headings have discernible text","Headings should not be empty",https://dequeuniversity.com/rules/axe/4.9/empty-heading?application=playwright
heading-order,null,"Ensures the order of headings is semantically correct","Heading levels should only increase by one",https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright
html-has-lang,null,"Ensures every HTML document has a lang attribute","<html> element must have a lang attribute",https://dequeuniversity.com/rules/axe/4.9/html-has-lang?application=playwright
